名称,住所,緯度,経度
北海道立アイヌ総合センター,日本、〒060-0002 北海道札幌市中央区北２条西７丁目 かでる2･7ビル 7階,43.0630648,141.3454639
北海道立文学館,日本、〒064-0931 北海道札幌市中央区中島公園１−４,43.044276,141.3561939
北海道立埋蔵文化財センター,日本、〒069-0832 北海道江別市西野幌６８５−１,43.060131,141.494509
北海道立北方民族博物館 網走市字潮見,日本、〒093-0042 北海道網走市潮見３０９−１,43.9968203,144.2397519
北方館 根室市納沙布岬36-6,日本、〒087-0165 北海道根室市納沙布３６−６,43.3862029,145.8116483
北方領土館 標津郡標津町,日本、〒086-1632 北海道標津郡標津町北２条東１丁目１−１４,43.662787,145.132044
三浦綾子記念文学館,日本、〒070-8007 北海道旭川市神楽７条８丁目２−１５,43.7535844,142.3480428
三笠市立博物館,日本、〒068-2111 北海道三笠市幾春別錦町１丁目２１２−１,43.2612848,141.9626283
三笠鉄道記念館,日本、〒068-2145 北海道三笠市幌内町２丁目２８７,43.227314,141.904091
宮尾登美子文学記念館,日本、〒052-0022 北海道伊達市梅本町５７−１,42.4717413,140.873355
むかわ町穂別地球体験館,日本、〒054-0211 北海道勇払郡むかわ町穂別７９−５,42.766838,142.134906
室蘭市青少年科学館,日本、〒051-0015 北海道室蘭市本町２丁目２−１,42.314153,140.973624
紋別市立博物館,日本、〒094-0005 北海道紋別市幸町３丁目１−４ 1番4号,44.3556316,143.3532837
八雲町郷土資料館,日本、〒049-3112 北海道二海郡八雲町末広町１５４,42.25452,140.268235
山の水族館,日本、〒091-0153 北海道北見市留辺蘂町松山１−４,43.7547404,143.5008796
夕張市石炭博物館,日本、〒068-0401 北海道夕張市高松 7番地,43.0684029,141.9891216
横綱千代の山・千代の富士記念館,日本、〒049-1312 北海道松前郡福島町福島１９０,41.4791069,140.2556
留萌市海のふるさと館,日本、〒077-0048 北海道留萌市大町２丁目,43.9461194,141.629726
