名称,住所,緯度,経度
みどり市立富弘美術館,日本、〒376-0302 群馬県みどり市東町草木８６,36.5535277,139.3729529
渋川市美術館・桑原巨守彫刻美術館,日本、〒377-0008 群馬県渋川市渋川１９０１−２４,36.495748,139.004734
茨城県近代美術館,日本、〒310-0851 茨城県水戸市千波町 東久保 ６６６−１,36.3678482,140.4656471
茨城県つくば美術館,日本、茨城県つくば市,36.0835255,140.0764454
茨城県天心記念五浦美術館,日本、〒319-1702 茨城県北茨城市大津町椿２０８３,36.8391379,140.8004655
茨城県陶芸美術館,日本、〒309-1611 茨城県笠間市笠間２３４５,36.3723305,140.2631655
水戸芸術館,日本、〒310-0063 茨城県水戸市五軒町１丁目６−８,36.3805581,140.4658433
しもだて美術館,日本、〒308-0031 茨城県筑西市丙３７２,36.3091996,139.9792454
埼玉県立近代美術館,日本、〒330-0061 埼玉県さいたま市浦和区常盤９丁目３０−１,35.8697281,139.6431734
うらわ美術館,日本、〒330-0062 埼玉県さいたま市浦和区仲町２丁目５−１ 浦和センチュリーシティ ３Ｆ ビル,35.8608315,139.6526758
秩父美術館,日本、〒368-0013 埼玉県秩父市永田町７−１,36.008848,139.083616
高坂彫刻プロムナード,日本、〒355-0063 埼玉県東松山市元宿２丁目２３−５,36.0024829,139.3928175
千葉県立美術館,日本、〒260-0024 千葉県千葉市中央区中央港１丁目１０−１ 千葉県立美術館,35.6012487,140.1009173
千葉市美術館,日本、〒260-0013 千葉県千葉市中央区中央３丁目１０−８,35.6088889,140.1246939
市川市東山魁夷記念館,日本、〒272-0813 千葉県市川市中山１丁目１６−２ 市川市東山魁夷記念館,35.7228412,139.9464647
市原市水と彫刻の丘,日本、千葉県市原市,35.4978821,140.1148672
佐倉市立美術館,日本、〒285-0023 千葉県佐倉市新町２１０ 市立美術館,35.7191893,140.2296742
東京都美術館,日本、〒110-0007 東京都台東区上野公園８−３６,35.7172113,139.7729387
東京都井の頭自然文化園彫刻園,日本、〒180-0005 東京都武蔵野市御殿山２丁目６−４,35.7000798,139.5693766
東京都庭園美術館,日本、〒108-0071 東京都港区白金台５丁目２１−９,35.6369465,139.7190408
東京都現代美術館,日本、〒135-0022 東京都江東区三好４丁目１−１ 東京都現代美術館,35.6797467,139.8081921
東京都写真美術館,日本、〒153-0062 東京都目黒区三田１丁目１３−３ 恵比寿ガーデンプレイス内,35.6416411,139.7132893
東京藝術大学大学美術館,日本、〒110-0007 東京都台東区上野公園１２−８,35.7192079,139.7718863
目黒区美術館,日本、〒153-0063 東京都目黒区目黒２丁目４−３６,35.6348759,139.7077219
渋谷区立松濤美術館,日本、〒150-0046 東京都渋谷区松濤２丁目１４−１４,35.6586207,139.6916655
板橋区立美術館,日本、〒175-0092 東京都板橋区赤塚５丁目３４−２７,35.7842155,139.644492
世田谷美術館,日本、〒157-0075 東京都世田谷区砧公園１−２,35.6314881,139.6219859
練馬区立美術館,日本、〒176-0021 東京都練馬区貫井１丁目３６−１６,35.7370477,139.6360455
すみだ北斎美術館,日本、〒130-0014 東京都墨田区亀沢２丁目７−２,35.6963313,139.800414
小金井市立はけの森美術館,日本、〒184-0012 東京都小金井市中町１丁目１１−３ 小金井市立はけの森美術館,35.6950634,139.5127684
府中市美術館,日本、〒183-0001 東京都府中市浅間町１丁目３,35.6788556,139.4920647
武蔵野市立吉祥寺美術館,日本、〒180-0004 東京都武蔵野市吉祥寺本町１丁目８−１６ コピス吉祥寺A館 7F,35.7050207,139.5789794
小平市平櫛田中彫刻美術館,日本、〒187-0045 東京都小平市学園西町１丁目７−５,35.7179871,139.4755712
青梅市立美術館,日本、〒198-0085 東京都青梅市滝ノ上町１３４６,35.7875619,139.255893
八王子市夢美術館,日本、〒192-0071 東京都八王子市八日町８−１,35.660453,139.3307517
町田市立国際版画美術館,日本、〒194-0013 東京都町田市原町田４丁目２８−１,35.5441208,139.4550629
O美術館,日本、〒141-0032 東京都品川区大崎１丁目６−２ ニューシティ・２号館２Ｆ,35.6207149,139.7292987
奥多摩町立せせらぎの里美術館,日本、〒198-0102 東京都西多摩郡奥多摩町川井５３ せせらぎの里美術館,35.8075,139.1738889
神奈川県立近代美術館,日本、〒248-0005 神奈川県鎌倉市雪ノ下２丁目１−５３,35.3246891,139.5549323
横浜美術館,日本、〒220-0012 神奈川県横浜市西区みなとみらい３丁目４−１ 横浜美術館,35.4569619,139.6306475
川崎市市民ミュージアム,日本、〒211-0052 神奈川県川崎市中原区等々力１−２,35.5887214,139.647451
川崎市岡本太郎美術館,日本、〒214-0032 神奈川県川崎市多摩区枡形７丁目１−５,35.608061,139.557501
横須賀市美術館,日本、神奈川県横須賀市,35.281498,139.6721655
中川一政美術館,日本、〒259-0201 神奈川県足柄下郡真鶴町真鶴１１７８−１,35.1443948,139.1518104
新潟県立近代美術館,日本、〒940-2108 新潟県長岡市千秋３丁目２７８−１４ 県立近代美術館,37.4643628,138.8317029
新潟県立万代島美術館,日本、〒950-0078 新潟県新潟市中央区万代島５−１ 朱鷺メッセ ビル 5階,37.9252898,139.0594291
新潟市美術館,日本、〒951-8104 新潟県新潟市中央区西大畑町５１９１−９ 新潟市美術館,37.9283584,139.0416754
新津美術館,,,
富山県美術館,日本、〒930-0806 富山県富山市木場町３−２０,36.7105539,137.2101156
富山県水墨美術館,日本、〒930-0887 富山県富山市五福７７７,36.6991162,137.1965483
富山市ガラス美術館,日本、〒930-0062 富山県富山市西町５−１,36.6884159,137.2151858
佐藤記念美術館,日本、〒930-0081 富山県富山市本丸１−３３,36.6939103,137.212024
